record_id,review_scope,ai_expected_product_class,ai_predicted_product_class,title,source_platform,source_page_url,creator,license_id,candidate_split,technical_decision,ai_decision,ai_procedure_relevance,ai_functional_step_visible,ai_visual_evidence,ai_uncertainty,sample_frame_paths,review_priority,prescreen_flags,reviewer_id,review_status,license_evidence_status,corrected_product_class,corrected_procedure_relevance,corrected_functional_step_visible,privacy_risk,safety_risk,correction_reason,final_decision,dataset_split,reviewed_at,bundle_video_path,bundle_frame_dir
pressure-037,full_positive_review,Pressure Cooker,Pressure Cooker,"The Instant Pot is a slow cooker, pressure cooker, and steamer, all in one",Internet Archive,https://archive.org/details/youtube-N-DG_bleUlg,Insider,OWNER-WRITTEN-AUTHORIZATION,development_candidate,pass,retain_for_human_review,operation,yes,"Frames show eggs being placed in a steamer basket inside an Instant Pot, the control panel being set to 30 minutes, and the appliance being used to cook pulled pork and mac and cheese, all consistent with pressure cooker operations.",,data_video/review/archive_candidate_frames/pressure-037/sample_01.jpg|data_video/review/archive_candidate_frames/pressure-037/sample_02.jpg|data_video/review/archive_candidate_frames/pressure-037/sample_03.jpg|data_video/review/archive_candidate_frames/pressure-037/sample_04.jpg|data_video/review/archive_candidate_frames/pressure-037/sample_05.jpg,normal,,R1,completed,verified,Pressure Cooker,yes,yes,none,none,,accept,development,2026-07-23T06:13:41.000Z,,
pressure-040,full_positive_review,Pressure Cooker,Pressure Cooker,Making Butternut Pumpkin Soup with Stacey Springer,Internet Archive,https://archive.org/details/prkcitut-Making_Butternut_Pumpkin_Soup_with_Stacey_Springer,Park City Television,OWNER-WRITTEN-AUTHORIZATION,development_candidate,pass,retain_for_human_review,operation,yes,"A silver electric pressure cooker is prominently displayed on the counter. In frame 4, the chef is actively interacting with it, lifting the lid and gesturing towards its controls while explaining the process. Ingredients like chicken stock and pumpkin are arranged nearby, indicating a cooking demonstration.",,data_video/review/archive_candidate_frames/pressure-040/sample_01.jpg|data_video/review/archive_candidate_frames/pressure-040/sample_02.jpg|data_video/review/archive_candidate_frames/pressure-040/sample_03.jpg|data_video/review/archive_candidate_frames/pressure-040/sample_04.jpg|data_video/review/archive_candidate_frames/pressure-040/sample_05.jpg,normal,,R1,completed,verified,Pressure Cooker,yes,yes,none,none,,accept,development,2026-07-23T06:13:41.000Z,,
printer-014,full_positive_review,Printer,Printer,hp printer cartridge cleaning | How to clean hp printer cartridge | hp printer cartridge | in Hindi,Internet Archive,https://archive.org/details/youtube-mpo00dO4YFw,Techno Star,OWNER-WRITTEN-AUTHORIZATION,development_candidate,pass,retain_for_human_review,maintenance,yes,"Frames show hands disassembling and cleaning an HP ink cartridge, including inserting a cleaning tool and showing the cartridge next to an HP GT51 ink bottle.",,data_video/review/archive_candidate_frames/printer-014/sample_01.jpg|data_video/review/archive_candidate_frames/printer-014/sample_02.jpg|data_video/review/archive_candidate_frames/printer-014/sample_03.jpg|data_video/review/archive_candidate_frames/printer-014/sample_04.jpg|data_video/review/archive_candidate_frames/printer-014/sample_05.jpg,normal,,R1,completed,verified,Printer,yes,yes,none,none,,accept,development,2026-07-23T06:13:41.000Z,,
printer-017,full_positive_review,Printer,Printer,Step by Step Guide to Fix Paper Jam in Printer,Internet Archive,https://archive.org/details/fix-paper-jam-in-printer,Archive contributor,OWNER-WRITTEN-AUTHORIZATION,development_candidate,pass,retain_for_human_review,troubleshooting,yes,"Frames show steps to fix printer paper jams, including identifying causes, opening panels, cleaning rollers, reloading paper, and troubleshooting persistent issues.",,data_video/review/archive_candidate_frames/printer-017/sample_01.jpg|data_video/review/archive_candidate_frames/printer-017/sample_02.jpg|data_video/review/archive_candidate_frames/printer-017/sample_03.jpg|data_video/review/archive_candidate_frames/printer-017/sample_04.jpg|data_video/review/archive_candidate_frames/printer-017/sample_05.jpg,normal,,R1,completed,verified,Printer,yes,yes,none,none,,accept,development,2026-07-23T06:13:41.000Z,,
printer-020,full_positive_review,Printer,Printer,How to Fix (Reset) Canon Printer Error Code 5B00,Internet Archive,https://archive.org/details/youtube-2wo_suktXOE,yelnats,OWNER-WRITTEN-AUTHORIZATION,development_candidate,pass,retain_for_human_review,troubleshooting,yes,"The video shows a printer control panel with buttons labeled 'Stop', 'Black', 'Start', and 'Color'. Text overlays instruct to press and hold the 'Stop' button, then press the 'Power' button, and to press 'Stop' five times continuously. The printer is shown resetting and printing a test page.",,data_video/review/archive_candidate_frames/printer-020/sample_01.jpg|data_video/review/archive_candidate_frames/printer-020/sample_02.jpg|data_video/review/archive_candidate_frames/printer-020/sample_03.jpg|data_video/review/archive_candidate_frames/printer-020/sample_04.jpg|data_video/review/archive_candidate_frames/printer-020/sample_05.jpg,normal,,R1,completed,verified,Printer,yes,yes,none,none,,accept,development,2026-07-23T06:13:41.000Z,,
printer-021,full_positive_review,Printer,Printer,Canon Printer E03 OR P03 error problem solve 100 % || Canon Printer Paper Jam Error Problem fix,Internet Archive,https://archive.org/details/youtube-7_cXhCq-qeQ,Surajit Printer Point,OWNER-WRITTEN-AUTHORIZATION,development_candidate,pass,retain_for_human_review,maintenance,yes,"Frames show a hand loading paper into a printer, operating the printer's control panel, disassembling the printer to access internal gears and components, and holding a small mechanical part. This sequence indicates troubleshooting or maintenance of a printer, consistent with the expected class.",,data_video/review/archive_candidate_frames/printer-021/sample_01.jpg|data_video/review/archive_candidate_frames/printer-021/sample_02.jpg|data_video/review/archive_candidate_frames/printer-021/sample_03.jpg|data_video/review/archive_candidate_frames/printer-021/sample_04.jpg|data_video/review/archive_candidate_frames/printer-021/sample_05.jpg,normal,,R1,completed,verified,Printer,yes,yes,none,none,,accept,development,2026-07-23T06:13:41.000Z,,
printer-024,full_positive_review,Printer,Printer,How to Clean Epson Block Head on Epson L805/L800 Printer detail information,Internet Archive,https://archive.org/details/youtube-UEK4yY1NcEc,TECHNICAL JASIS,OWNER-WRITTEN-AUTHORIZATION,development_candidate,pass,retain_for_human_review,maintenance,yes,"A disassembled printer is on a workbench. A person wearing gloves is shown injecting liquid into a black printhead component, which is a maintenance step for a printer.",,data_video/review/archive_candidate_frames/printer-024/sample_01.jpg|data_video/review/archive_candidate_frames/printer-024/sample_02.jpg|data_video/review/archive_candidate_frames/printer-024/sample_03.jpg|data_video/review/archive_candidate_frames/printer-024/sample_04.jpg|data_video/review/archive_candidate_frames/printer-024/sample_05.jpg,normal,,R1,completed,verified,Printer,yes,yes,low,none,,accept,development,2026-07-23T06:13:41.000Z,,
printer-028,full_positive_review,Printer,Printer,how to reset canon g2010 printer | Easy Without Programs!,Internet Archive,https://archive.org/details/youtube-ElnQiJlRYEI,SRC TECHNOLOGY- NEWS,OWNER-WRITTEN-AUTHORIZATION,development_candidate,pass,retain_for_human_review,troubleshooting,yes,"A Canon printer is shown with a hand pressing the 'Start' button on its control panel, which displays a number. The printer's brand and ink tank area are visible, indicating it is an inkjet model.",,data_video/review/archive_candidate_frames/printer-028/sample_01.jpg|data_video/review/archive_candidate_frames/printer-028/sample_02.jpg|data_video/review/archive_candidate_frames/printer-028/sample_03.jpg|data_video/review/archive_candidate_frames/printer-028/sample_04.jpg|data_video/review/archive_candidate_frames/printer-028/sample_05.jpg,normal,,R1,completed,verified,Printer,yes,yes,none,none,,accept,development,2026-07-23T06:13:41.000Z,,
printer-030,full_positive_review,Printer,Printer,How to Scan Document or Photo from Canon G2010 Printer | Step by Step | Canon Pixma G2010 | In Hindi,Internet Archive,https://archive.org/details/youtube-10WLJY8r_Jc,SM Techno Hindi,OWNER-WRITTEN-AUTHORIZATION,development_candidate,pass,retain_for_human_review,operation,yes,"Frames show a Canon G2010 printer on a desk with a document being scanned. The user opens the 'Canon IJ Scan Utility' software, which is specifically for scanning documents and photos from this printer model. The utility window displays scan options like 'Auto', 'Document', 'Photo', etc., indicating an active scanning procedure.",,data_video/review/archive_candidate_frames/printer-030/sample_01.jpg|data_video/review/archive_candidate_frames/printer-030/sample_02.jpg|data_video/review/archive_candidate_frames/printer-030/sample_03.jpg|data_video/review/archive_candidate_frames/printer-030/sample_04.jpg|data_video/review/archive_candidate_frames/printer-030/sample_05.jpg,normal,,R1,completed,verified,Printer,yes,yes,none,none,,accept,development,2026-07-23T06:13:41.000Z,,
printer-031,full_positive_review,Printer,Printer,How to Scan Document or Photo from Canon G2010 Printer | Canon G2010 Scan Kaise Kare,Internet Archive,https://archive.org/details/youtube-SG2999EuGoo,Tech SD Support,OWNER-WRITTEN-AUTHORIZATION,development_candidate,pass,retain_for_human_review,operation,yes,"Frames show a Canon G2010 printer being operated, including opening the scanner lid, pressing buttons, and using the 'Import Pictures and Videos' window to import scanned images.",,data_video/review/archive_candidate_frames/printer-031/sample_01.jpg|data_video/review/archive_candidate_frames/printer-031/sample_02.jpg|data_video/review/archive_candidate_frames/printer-031/sample_03.jpg|data_video/review/archive_candidate_frames/printer-031/sample_04.jpg|data_video/review/archive_candidate_frames/printer-031/sample_05.jpg,normal,,R1,completed,verified,Printer,yes,yes,none,none,,accept,development,2026-07-23T06:13:41.000Z,,
printer-032,full_positive_review,Printer,Printer,HOW TO RESET CANON G2010 PIXMA PRINTER (Support code: 5B00),Internet Archive,https://archive.org/details/youtube-Wle8uA_bYoE,mikbes,OWNER-WRITTEN-AUTHORIZATION,development_candidate,pass,retain_for_human_review,troubleshooting,yes,"A hand is pressing the power button on a Canon G2010 printer, which is a visible troubleshooting step for resetting the device.",,data_video/review/archive_candidate_frames/printer-032/sample_01.jpg|data_video/review/archive_candidate_frames/printer-032/sample_02.jpg|data_video/review/archive_candidate_frames/printer-032/sample_03.jpg|data_video/review/archive_candidate_frames/printer-032/sample_04.jpg|data_video/review/archive_candidate_frames/printer-032/sample_05.jpg,normal,,R1,completed,verified,Printer,yes,yes,none,none,,accept,development,2026-07-23T06:13:41.000Z,,
printer-033,full_positive_review,Printer,Printer,Canon G2010 E03 error Problem Solve 100 % II Canon Printer Paper Jam Solution P03 error,Internet Archive,https://archive.org/details/youtube-fU2ZXoJ4oE4,Surajit Printer Point,OWNER-WRITTEN-AUTHORIZATION,development_candidate,pass,retain_for_human_review,maintenance,yes,"Frames show disassembled printer components being handled, including gears and plastic parts, with a Canon printer visible in frame 5. The text overlay 'Like, Share & Subscribe' suggests a tutorial context for fixing a printer error.",,data_video/review/archive_candidate_frames/printer-033/sample_01.jpg|data_video/review/archive_candidate_frames/printer-033/sample_02.jpg|data_video/review/archive_candidate_frames/printer-033/sample_03.jpg|data_video/review/archive_candidate_frames/printer-033/sample_04.jpg|data_video/review/archive_candidate_frames/printer-033/sample_05.jpg,normal,,R1,completed,verified,Printer,yes,yes,none,none,,accept,development,2026-07-23T06:13:41.000Z,,
vacuum-034,full_positive_review,Vacuum,Vacuum,[LG Vacuum cleaner] - How to disassemble and assemble the A9 Tower All-in-one station,Internet Archive,https://archive.org/details/youtube-zcH8CT_xikE,LG customer support Europe_official,OWNER-WRITTEN-AUTHORIZATION,development_candidate,pass,retain_for_human_review,maintenance,yes,"Frames show disassembly of a black appliance with a motor and wiring, consistent with a vacuum cleaner's internal components. A hand is seen removing panels and handling wires, indicating maintenance or repair.",,data_video/review/archive_candidate_frames/vacuum-034/sample_01.jpg|data_video/review/archive_candidate_frames/vacuum-034/sample_02.jpg|data_video/review/archive_candidate_frames/vacuum-034/sample_03.jpg|data_video/review/archive_candidate_frames/vacuum-034/sample_04.jpg|data_video/review/archive_candidate_frames/vacuum-034/sample_05.jpg,normal,,R1,completed,verified,Vacuum,yes,yes,none,none,,accept,development,2026-07-23T06:13:41.000Z,,
vacuum-038,full_positive_review,Vacuum,Vacuum,How to recharge the battery of your Samsung Jet™ vacuum cleaner,Internet Archive,https://archive.org/details/youtube-Dk6gd7CTQJw,Samsung India,OWNER-WRITTEN-AUTHORIZATION,development_candidate,pass,retain_for_human_review,maintenance,yes,"Frames show a vacuum cleaner battery being removed from the device, charged on a desk charger, and reinserted, with text overlays explaining the process.",,data_video/review/archive_candidate_frames/vacuum-038/sample_01.jpg|data_video/review/archive_candidate_frames/vacuum-038/sample_02.jpg|data_video/review/archive_candidate_frames/vacuum-038/sample_03.jpg|data_video/review/archive_candidate_frames/vacuum-038/sample_04.jpg|data_video/review/archive_candidate_frames/vacuum-038/sample_05.jpg,normal,,R1,completed,verified,Vacuum,yes,yes,none,none,,accept,development,2026-07-23T06:13:41.000Z,,
