record_id,field,original_value,normalized_value,normalization_rule
printer-011,correction_reason,,Derived from completed R1 fields: corrected_procedure_relevance=no; corrected_functional_step_visible=no,Populate required rejection reason only from completed R1 categorical fields; raw workbook unchanged.
printer-012,correction_reason,,Derived from completed R1 fields: corrected_procedure_relevance=no; corrected_functional_step_visible=no,Populate required rejection reason only from completed R1 categorical fields; raw workbook unchanged.
printer-018,correction_reason,,Derived from completed R1 fields: corrected_procedure_relevance=no; corrected_functional_step_visible=no,Populate required rejection reason only from completed R1 categorical fields; raw workbook unchanged.
printer-019,correction_reason,,Derived from completed R1 fields: corrected_procedure_relevance=no; corrected_functional_step_visible=no,Populate required rejection reason only from completed R1 categorical fields; raw workbook unchanged.
printer-023,correction_reason,,Derived from completed R1 fields: corrected_procedure_relevance=no; corrected_functional_step_visible=no,Populate required rejection reason only from completed R1 categorical fields; raw workbook unchanged.
printer-026,correction_reason,,Derived from completed R1 fields: corrected_procedure_relevance=no; corrected_functional_step_visible=no,Populate required rejection reason only from completed R1 categorical fields; raw workbook unchanged.
printer-027,correction_reason,,Derived from completed R1 fields: corrected_procedure_relevance=no; corrected_functional_step_visible=no,Populate required rejection reason only from completed R1 categorical fields; raw workbook unchanged.
printer-029,correction_reason,,Derived from completed R1 fields: corrected_procedure_relevance=no; corrected_functional_step_visible=no,Populate required rejection reason only from completed R1 categorical fields; raw workbook unchanged.
vacuum-030,correction_reason,,Derived from completed R1 fields: corrected_procedure_relevance=no; corrected_functional_step_visible=no,Populate required rejection reason only from completed R1 categorical fields; raw workbook unchanged.
vacuum-032,correction_reason,,Derived from completed R1 fields: corrected_procedure_relevance=no; corrected_functional_step_visible=no,Populate required rejection reason only from completed R1 categorical fields; raw workbook unchanged.
vacuum-035,correction_reason,,Derived from completed R1 fields: corrected_procedure_relevance=no; corrected_functional_step_visible=no,Populate required rejection reason only from completed R1 categorical fields; raw workbook unchanged.
vacuum-040,correction_reason,,Derived from completed R1 fields: corrected_procedure_relevance=no; corrected_functional_step_visible=no,Populate required rejection reason only from completed R1 categorical fields; raw workbook unchanged.
vacuum-046,correction_reason,,Derived from completed R1 fields: corrected_procedure_relevance=no; corrected_functional_step_visible=no,Populate required rejection reason only from completed R1 categorical fields; raw workbook unchanged.
vacuum-048,correction_reason,,Derived from completed R1 fields: corrected_procedure_relevance=no; corrected_functional_step_visible=no,Populate required rejection reason only from completed R1 categorical fields; raw workbook unchanged.
vacuum-050,correction_reason,,Derived from completed R1 fields: corrected_procedure_relevance=no; corrected_functional_step_visible=no,Populate required rejection reason only from completed R1 categorical fields; raw workbook unchanged.
vacuum-052,correction_reason,,Derived from completed R1 fields: corrected_procedure_relevance=no; corrected_functional_step_visible=no,Populate required rejection reason only from completed R1 categorical fields; raw workbook unchanged.
vacuum-062,correction_reason,,Derived from completed R1 fields: corrected_procedure_relevance=no; corrected_functional_step_visible=no,Populate required rejection reason only from completed R1 categorical fields; raw workbook unchanged.
washing-029,correction_reason,,Derived from completed R1 fields: corrected_procedure_relevance=no; corrected_functional_step_visible=no,Populate required rejection reason only from completed R1 categorical fields; raw workbook unchanged.
washing-057,correction_reason,,Derived from completed R1 fields: corrected_procedure_relevance=no; corrected_functional_step_visible=no,Populate required rejection reason only from completed R1 categorical fields; raw workbook unchanged.
washing-058,correction_reason,,Derived from completed R1 fields: corrected_procedure_relevance=no; corrected_functional_step_visible=no,Populate required rejection reason only from completed R1 categorical fields; raw workbook unchanged.
airfryer-021,correction_reason,,Derived from completed R1 fields: corrected_procedure_relevance=no; corrected_functional_step_visible=no,Populate required rejection reason only from completed R1 categorical fields; raw workbook unchanged.
espresso-020,correction_reason,,Derived from completed R1 fields: corrected_procedure_relevance=no; corrected_functional_step_visible=no,Populate required rejection reason only from completed R1 categorical fields; raw workbook unchanged.
pressure-024,correction_reason,,Derived from completed R1 fields: corrected_procedure_relevance=no; corrected_functional_step_visible=no,Populate required rejection reason only from completed R1 categorical fields; raw workbook unchanged.
printer-013,correction_reason,,Derived from completed R1 fields: corrected_procedure_relevance=no; corrected_functional_step_visible=no,Populate required rejection reason only from completed R1 categorical fields; raw workbook unchanged.
vacuum-041,correction_reason,,Derived from completed R1 fields: corrected_procedure_relevance=no; corrected_functional_step_visible=no,Populate required rejection reason only from completed R1 categorical fields; raw workbook unchanged.
washing-036,correction_reason,,Derived from completed R1 fields: corrected_procedure_relevance=no; corrected_functional_step_visible=no,Populate required rejection reason only from completed R1 categorical fields; raw workbook unchanged.
