record_id,product_class,selection_status,selection_rank,class_baseline_count,class_target,class_requested_additions,selection_reason,dataset_split,privacy_risk,safety_risk,ai_procedure_relevance,creator,source_page_url,final_decision
espresso-021,Espresso Machine,not_eligible,,10,13,3,not_accepted_by_r1,excluded,low,none,,Grayson Millar,https://archive.org/details/original-espresso-machine-co.-espresso-machine-training-dvd,reject
espresso-023,Espresso Machine,not_eligible,,10,13,3,not_accepted_by_r1,excluded,low,none,setup,Starbucks Coffee Company,https://archive.org/details/StarbucksBaristaHomeEspresso,reject
pressure-020,Pressure Cooker,selected,3,4,13,9,selected_for_class_balance; split=development; privacy=none; safety=none; procedure=operation; deterministic_rank=3,development,none,none,operation,Dave Hales,https://archive.org/details/youtube-VrwddG6c1qA,accept
pressure-022,Pressure Cooker,not_eligible,,4,13,9,not_accepted_by_r1,excluded,none,none,promotion,Archive contributor,https://archive.org/details/cook-faster-with-the-best-pressure-cooker-by-decent-cookware,reject
pressure-023,Pressure Cooker,reserve,,4,13,9,eligible_reserve_after_class_quota,development,low,none,operation,Archive contributor,https://archive.org/details/Amazon.comMealthyMultiPot9In1ProgrammablePressureCooker6QuartsWithStainlessSteel,accept
pressure-024,Pressure Cooker,not_eligible,,4,13,9,not_accepted_by_r1,excluded,low,none,irrelevant,Contagious Media,https://archive.org/details/19940508am-family-pressure-hosanna,reject
pressure-026,Pressure Cooker,selected,4,4,13,9,selected_for_class_balance; split=development; privacy=none; safety=none; procedure=operation; deterministic_rank=4,development,none,none,operation,Vic Sage,https://archive.org/details/DiaryOfAnArcadeEmployeeVidcast05PressureCooker,accept
pressure-027,Pressure Cooker,selected,7,4,13,9,selected_for_class_balance; split=development; privacy=low; safety=none; procedure=operation; deterministic_rank=7,development,low,none,operation,WTVR CBS 6,https://archive.org/details/youtube-ymo46Al_M60,accept
pressure-028,Pressure Cooker,selected,8,4,13,9,selected_for_class_balance; split=development; privacy=low; safety=none; procedure=operation; deterministic_rank=8,development,low,none,operation,SMC,https://archive.org/details/Instant_Pot_Risotto_with_Shrimp_-_Shrewsbury_Community_Cookbook,accept
pressure-030,Pressure Cooker,not_eligible,,4,13,9,not_accepted_by_r1,excluded,none,none,promotion,Archive contributor,https://archive.org/details/robocook-pdf,reject
pressure-031,Pressure Cooker,not_eligible,,4,13,9,not_accepted_by_r1,excluded,none,none,component_overview,Archive contributor,https://archive.org/details/cook-more-effortlessly-with-the-big-pressure-cooker-by-decent-cookware,reject
pressure-032,Pressure Cooker,selected,2,4,13,9,selected_for_class_balance; split=source_disjoint_test; privacy=low; safety=none; procedure=operation; deterministic_rank=2,source_disjoint_test,low,none,operation,J Nelson,https://archive.org/details/scm-214736-usingapressurecooker,accept
pressure-033,Pressure Cooker,selected,1,4,13,9,selected_for_class_balance; split=source_disjoint_test; privacy=none; safety=none; procedure=operation; deterministic_rank=1,source_disjoint_test,none,none,operation,Fagor,https://archive.org/details/fagor-pressure-cooker,accept
pressure-035,Pressure Cooker,not_eligible,,4,13,9,not_accepted_by_r1,excluded,none,none,setup,thenewsurvivalist,https://archive.org/details/youtube-PgKX9HVdKiU,reject
pressure-036,Pressure Cooker,selected,9,4,13,9,selected_for_class_balance; split=development; privacy=low; safety=none; procedure=operation; deterministic_rank=9,development,low,none,operation,Dave Hales,https://archive.org/details/youtube-CZ7moF9ZvlA,accept
pressure-037,Pressure Cooker,selected,6,4,13,9,selected_for_class_balance; split=development; privacy=none; safety=none; procedure=operation; deterministic_rank=6,development,none,none,operation,Insider,https://archive.org/details/youtube-N-DG_bleUlg,accept
pressure-038,Pressure Cooker,not_eligible,,4,13,9,not_accepted_by_r1,excluded,low,none,component_overview,Dave Hales,https://archive.org/details/youtube-8A_9ze1CNh8,reject
pressure-040,Pressure Cooker,selected,5,4,13,9,selected_for_class_balance; split=development; privacy=none; safety=none; procedure=operation; deterministic_rank=5,development,none,none,operation,Park City Television,https://archive.org/details/prkcitut-Making_Butternut_Pumpkin_Soup_with_Stacey_Springer,accept
printer-011,Printer,not_eligible,,3,13,10,not_accepted_by_r1,excluded,low,none,setup,Archive contributor,https://archive.org/details/hp-3830-printer-setup-hp-printer-setup-support,reject
printer-012,Printer,not_eligible,,3,13,10,not_accepted_by_r1,excluded,none,none,setup,docrock808,https://archive.org/details/dailymotion-xq2rmt,reject
printer-013,Printer,not_eligible,,3,13,10,not_accepted_by_r1,excluded,none,none,uncertain,The 3D Print General,https://archive.org/details/youtube-eEOaA76WR0Q,reject
printer-014,Printer,selected,1,3,13,10,selected_for_class_balance; split=development; privacy=none; safety=none; procedure=maintenance; deterministic_rank=1,development,none,none,maintenance,Techno Star,https://archive.org/details/youtube-mpo00dO4YFw,accept
printer-017,Printer,selected,9,3,13,10,selected_for_class_balance; split=development; privacy=none; safety=none; procedure=troubleshooting; deterministic_rank=9,development,none,none,troubleshooting,Archive contributor,https://archive.org/details/fix-paper-jam-in-printer,accept
printer-018,Printer,not_eligible,,3,13,10,not_accepted_by_r1,excluded,none,none,setup,Printer IT Support,https://archive.org/details/learn-how-to-connect-printer-to-wifi-with-ease,reject
printer-019,Printer,not_eligible,,3,13,10,not_accepted_by_r1,excluded,none,none,setup,Samsung Tomorrow,https://archive.org/details/youtube-Qmkg1tA0BBI,reject
printer-020,Printer,selected,2,3,13,10,selected_for_class_balance; split=development; privacy=none; safety=none; procedure=troubleshooting; deterministic_rank=2,development,none,none,troubleshooting,yelnats,https://archive.org/details/youtube-2wo_suktXOE,accept
printer-021,Printer,selected,4,3,13,10,selected_for_class_balance; split=development; privacy=none; safety=none; procedure=maintenance; deterministic_rank=4,development,none,none,maintenance,Surajit Printer Point,https://archive.org/details/youtube-7_cXhCq-qeQ,accept
printer-023,Printer,not_eligible,,3,13,10,not_accepted_by_r1,excluded,none,none,setup,Archive contributor,https://archive.org/details/how-to-install-hewlett-packard-printer-without-cd,reject
printer-024,Printer,selected,10,3,13,10,selected_for_class_balance; split=development; privacy=low; safety=none; procedure=maintenance; deterministic_rank=10,development,low,none,maintenance,TECHNICAL JASIS,https://archive.org/details/youtube-UEK4yY1NcEc,accept
printer-025,Printer,reserve,,3,13,10,eligible_reserve_after_class_quota,development,low,none,troubleshooting,Archive contributor,https://archive.org/details/how-to-resolve-hp-printer-fuser-error,accept
printer-026,Printer,not_eligible,,3,13,10,not_accepted_by_r1,excluded,none,none,setup,ranchocucamonga,https://archive.org/details/corccav-How_to_add_a_network_printer_in_Windows_7,reject
printer-027,Printer,not_eligible,,3,13,10,not_accepted_by_r1,excluded,none,none,setup,Central Washington University,https://archive.org/details/cwuwa-How_to_add_a_printer_to_a_Mac,reject
printer-028,Printer,selected,5,3,13,10,selected_for_class_balance; split=development; privacy=none; safety=none; procedure=troubleshooting; deterministic_rank=5,development,none,none,troubleshooting,SRC TECHNOLOGY- NEWS,https://archive.org/details/youtube-ElnQiJlRYEI,accept
printer-029,Printer,not_eligible,,3,13,10,not_accepted_by_r1,excluded,none,none,setup,HP Support,https://archive.org/details/youtube-tg2BHRfT2a4,reject
printer-030,Printer,selected,3,3,13,10,selected_for_class_balance; split=development; privacy=none; safety=none; procedure=operation; deterministic_rank=3,development,none,none,operation,SM Techno Hindi,https://archive.org/details/youtube-10WLJY8r_Jc,accept
printer-031,Printer,selected,6,3,13,10,selected_for_class_balance; split=development; privacy=none; safety=none; procedure=operation; deterministic_rank=6,development,none,none,operation,Tech SD Support,https://archive.org/details/youtube-SG2999EuGoo,accept
printer-032,Printer,selected,7,3,13,10,selected_for_class_balance; split=development; privacy=none; safety=none; procedure=troubleshooting; deterministic_rank=7,development,none,none,troubleshooting,mikbes,https://archive.org/details/youtube-Wle8uA_bYoE,accept
printer-033,Printer,selected,8,3,13,10,selected_for_class_balance; split=development; privacy=none; safety=none; procedure=maintenance; deterministic_rank=8,development,none,none,maintenance,Surajit Printer Point,https://archive.org/details/youtube-fU2ZXoJ4oE4,accept
vacuum-029,Vacuum,reserve,,6,13,7,eligible_reserve_after_class_quota,development,low,none,maintenance,Samsung UK,https://archive.org/details/youtube-QC9Fu9mNOG8,accept
vacuum-030,Vacuum,not_eligible,,6,13,7,not_accepted_by_r1,excluded,none,none,setup,LittleBee,https://archive.org/details/youtube-9lXmkHXsiEw,reject
vacuum-031,Vacuum,not_eligible,,6,13,7,not_accepted_by_r1,excluded,low,none,promotion,PeriscopeFilm,https://archive.org/details/87054-pitch-plant-profit,reject
vacuum-032,Vacuum,not_eligible,,6,13,7,not_accepted_by_r1,excluded,none,none,setup,Samsung UK,https://archive.org/details/youtube-ypES7umF7z0,reject
vacuum-033,Vacuum,reserve,,6,13,7,eligible_reserve_after_class_quota,development,low,none,operation,Bruce Yeany,https://archive.org/details/youtube-ARnpo_32m4k,accept
vacuum-034,Vacuum,selected,1,6,13,7,selected_for_class_balance; split=development; privacy=none; safety=none; procedure=maintenance; deterministic_rank=1,development,none,none,maintenance,LG customer support Europe_official,https://archive.org/details/youtube-zcH8CT_xikE,accept
vacuum-035,Vacuum,not_eligible,,6,13,7,not_accepted_by_r1,excluded,none,none,promotion,Archive contributor,https://archive.org/details/CLE-B04_29449-29897,reject
vacuum-036,Vacuum,reserve,,6,13,7,eligible_reserve_after_class_quota,development,low,none,operation,Archive contributor,https://archive.org/details/NJY-016_446136-447039,accept
vacuum-037,Vacuum,reserve,,6,13,7,eligible_reserve_after_class_quota,development,low,none,operation,Allen City TV,https://archive.org/details/coatx-Vacuuming_the_City_s_Sewage,accept
vacuum-038,Vacuum,selected,5,6,13,7,selected_for_class_balance; split=development; privacy=none; safety=none; procedure=maintenance; deterministic_rank=5,development,none,none,maintenance,Samsung India,https://archive.org/details/youtube-Dk6gd7CTQJw,accept
vacuum-039,Vacuum,selected,4,6,13,7,selected_for_class_balance; split=development; privacy=none; safety=none; procedure=operation; deterministic_rank=4,development,none,none,operation,Archive contributor,https://archive.org/details/japanese-vacuum-cleaner-commercial,accept
vacuum-040,Vacuum,not_eligible,,6,13,7,not_accepted_by_r1,excluded,none,none,setup,Samsung Switzerland,https://archive.org/details/youtube-J8ttGSr8t3Y,reject
vacuum-041,Vacuum,not_eligible,,6,13,7,not_accepted_by_r1,excluded,none,none,irrelevant,Interesting Engineering,https://archive.org/details/youtube-pVc_Vr4-pqU,reject
vacuum-044,Vacuum,selected,6,6,13,7,selected_for_class_balance; split=development; privacy=none; safety=none; procedure=operation; deterministic_rank=6,development,none,none,operation,Archive contributor,https://archive.org/details/black-decker-vacuum-cleaner-power-pro-1991-commercial,accept
vacuum-045,Vacuum,not_eligible,,6,13,7,not_accepted_by_r1,excluded,none,none,component_overview,Samsung India,https://archive.org/details/youtube-od-SDectzW8,reject
vacuum-046,Vacuum,not_eligible,,6,13,7,not_accepted_by_r1,excluded,none,none,setup,Samsung India,https://archive.org/details/youtube-HZetIZTGjRw,reject
vacuum-047,Vacuum,reserve,,6,13,7,eligible_reserve_after_class_quota,development,low,none,maintenance,Samsung UK,https://archive.org/details/youtube-3sgGbC0ZRvI,accept
vacuum-048,Vacuum,not_eligible,,6,13,7,not_accepted_by_r1,excluded,low,none,setup,Samsung UK,https://archive.org/details/youtube-e1nVFENggPM,reject
vacuum-049,Vacuum,reserve,,6,13,7,eligible_reserve_after_class_quota,development,low,none,maintenance,LG USA,https://archive.org/details/youtube-NfRxRDRrQL4,accept
vacuum-050,Vacuum,not_eligible,,6,13,7,not_accepted_by_r1,excluded,low,none,setup,LG customer support Europe_official,https://archive.org/details/youtube-H-P4SOWj36w,reject
vacuum-051,Vacuum,reserve,,6,13,7,eligible_reserve_after_class_quota,development,low,none,maintenance,Samsung India,https://archive.org/details/youtube-LOTmO67RmRA,accept
vacuum-052,Vacuum,not_eligible,,6,13,7,not_accepted_by_r1,excluded,none,none,component_overview,Samsung,https://archive.org/details/youtube-yaQeyOuiP-4,reject
vacuum-053,Vacuum,selected,7,6,13,7,selected_for_class_balance; split=development; privacy=none; safety=none; procedure=operation; deterministic_rank=7,development,none,none,operation,Archive contributor,https://archive.org/details/best-vacuum-cleaner-for-hardwood-floors,accept
vacuum-054,Vacuum,not_eligible,,6,13,7,not_accepted_by_r1,excluded,low,none,promotion,Samsung UK,https://archive.org/details/youtube-zNJCvk5Nu9A,reject
vacuum-055,Vacuum,reserve,,6,13,7,eligible_reserve_after_class_quota,development,low,none,operation,Samsung India,https://archive.org/details/youtube-NjlF46DPOIQ,accept
vacuum-056,Vacuum,not_eligible,,6,13,7,not_accepted_by_r1,excluded,none,none,component_overview,Samsung India,https://archive.org/details/youtube-o-_MYHj_Wog,reject
vacuum-057,Vacuum,reserve,,6,13,7,eligible_reserve_after_class_quota,development,low,none,maintenance,Samsung India,https://archive.org/details/youtube-VG3aaDpKe-I,accept
vacuum-058,Vacuum,selected,3,6,13,7,selected_for_class_balance; split=development; privacy=none; safety=none; procedure=maintenance; deterministic_rank=3,development,none,none,maintenance,Samsung UK,https://archive.org/details/youtube-MGZnlbK30v4,accept
vacuum-060,Vacuum,selected,2,6,13,7,selected_for_class_balance; split=development; privacy=none; safety=none; procedure=operation; deterministic_rank=2,development,none,none,operation,Samsung India,https://archive.org/details/youtube-QpDibOca3Tc,accept
vacuum-061,Vacuum,not_eligible,,6,13,7,not_accepted_by_r1,excluded,none,none,component_overview,Samsung,https://archive.org/details/youtube-XABScGX-Mg8,reject
vacuum-062,Vacuum,not_eligible,,6,13,7,not_accepted_by_r1,excluded,none,none,promotion,Samsung,https://archive.org/details/youtube-O2A1LbZ95OM,reject
vacuum-064,Vacuum,reserve,,6,13,7,eligible_reserve_after_class_quota,development,low,none,operation,Razzlekhan,https://archive.org/details/youtube-ncqEZfKLcTs,accept
vacuum-065,Vacuum,reserve,,6,13,7,eligible_reserve_after_class_quota,development,low,none,operation,Archive contributor,https://archive.org/details/2017-08-15_TechSmartt_NEVER-USE-This-Vacuum-Cleaner-Haircut-Gadget,accept
washing-028,Washing Machine,reserve,,6,13,7,eligible_reserve_after_class_quota,development,none,none,maintenance,Archive contributor,https://archive.org/details/washer-repair,accept
washing-029,Washing Machine,not_eligible,,6,13,7,not_accepted_by_r1,excluded,low,none,setup,LG customer support Europe_official,https://archive.org/details/youtube-5626Gv4D7q8,reject
washing-030,Washing Machine,selected,1,6,13,7,selected_for_class_balance; split=development; privacy=none; safety=none; procedure=maintenance; deterministic_rank=1,development,none,none,maintenance,0000158,https://archive.org/details/youtube-jgiEcrlIpmA,accept
washing-032,Washing Machine,reserve,,6,13,7,eligible_reserve_after_class_quota,development,low,none,maintenance,Samsung Gulf,https://archive.org/details/youtube-YfZbmfCYSSs,accept
washing-033,Washing Machine,not_eligible,,6,13,7,not_accepted_by_r1,excluded,low,none,promotion,Archive contributor,https://archive.org/details/westinghouse1965,reject
washing-034,Washing Machine,selected,2,6,13,7,selected_for_class_balance; split=development; privacy=none; safety=none; procedure=operation; deterministic_rank=2,development,none,none,operation,na5m,https://archive.org/details/washingMachine2_201808,accept
washing-035,Washing Machine,reserve,,6,13,7,eligible_reserve_after_class_quota,development,none,none,operation,Archive contributor,https://archive.org/details/washing-machine-35mm,accept
washing-036,Washing Machine,not_eligible,,6,13,7,not_accepted_by_r1,excluded,none,none,irrelevant,Elsagate Archive Videos,https://archive.org/details/mom-minnie-mouse-got-losing-the-winner-spin-washing-machine,reject
washing-038,Washing Machine,not_eligible,,6,13,7,not_accepted_by_r1,excluded,none,none,irrelevant,Kenneth Udut,https://archive.org/details/WashingMachineTearingItselfApartItsNotStopmotionThisIsRealtimeLoopsWhyUDontPut,reject
washing-040,Washing Machine,not_eligible,,6,13,7,not_accepted_by_r1,excluded,none,none,promotion,Comet,https://archive.org/details/comet-sense-hotpoint-washing-machine-advert,reject
washing-041,Washing Machine,reserve,,6,13,7,eligible_reserve_after_class_quota,development,low,none,operation,Nathan Alber,https://archive.org/details/NathanAlberBrokenWashingMachine,accept
washing-042,Washing Machine,reserve,,6,13,7,eligible_reserve_after_class_quota,development,low,none,operation,Nick Jr.,https://archive.org/details/nick-jr-face-the-washing-machine,accept
washing-043,Washing Machine,not_eligible,,6,13,7,not_accepted_by_r1,excluded,none,none,promotion,Archive contributor,https://archive.org/details/easyWashingMachineCommercialFrom1955,reject
washing-045,Washing Machine,not_eligible,,6,13,7,not_accepted_by_r1,excluded,none,none,promotion,Archive contributor,https://archive.org/details/GalamaticDeluxWashingMachine1965TVCommercialXvid,reject
washing-048,Washing Machine,reserve,,6,13,7,eligible_reserve_after_class_quota,development,low,none,maintenance,LG customer support Europe_official,https://archive.org/details/youtube-MlSccVEf9X8,accept
washing-049,Washing Machine,selected,4,6,13,7,selected_for_class_balance; split=development; privacy=none; safety=none; procedure=maintenance; deterministic_rank=4,development,none,none,maintenance,LG USA,https://archive.org/details/youtube-c8XiTdH9heQ,accept
washing-050,Washing Machine,reserve,,6,13,7,eligible_reserve_after_class_quota,development,none,none,maintenance,LG customer support Europe_official,https://archive.org/details/youtube-VqdLgLyQ81Y,accept
washing-051,Washing Machine,selected,3,6,13,7,selected_for_class_balance; split=development; privacy=none; safety=none; procedure=troubleshooting; deterministic_rank=3,development,none,none,troubleshooting,LG Global,https://archive.org/details/youtube--5f6NURRjUs,accept
washing-052,Washing Machine,selected,7,6,13,7,selected_for_class_balance; split=development; privacy=none; safety=none; procedure=maintenance; deterministic_rank=7,development,none,none,maintenance,Big Clive,https://archive.org/details/bigclive_20170917,accept
washing-053,Washing Machine,not_eligible,,6,13,7,not_accepted_by_r1,excluded,none,none,promotion,Archive contributor,https://archive.org/details/httpsnearbywashingmachinerepair.in,reject
washing-054,Washing Machine,reserve,,6,13,7,eligible_reserve_after_class_quota,development,none,none,maintenance,LG Global,https://archive.org/details/youtube-csbGtz8D1lw,accept
washing-056,Washing Machine,selected,6,6,13,7,selected_for_class_balance; split=development; privacy=none; safety=none; procedure=operation; deterministic_rank=6,development,none,none,operation,Samsung UK,https://archive.org/details/youtube-TngLsmls00c,accept
washing-057,Washing Machine,not_eligible,,6,13,7,not_accepted_by_r1,excluded,low,none,setup,Samsung New Zealand,https://archive.org/details/youtube-1iGAacTgkxc,reject
washing-058,Washing Machine,not_eligible,,6,13,7,not_accepted_by_r1,excluded,none,none,setup,LG Global,https://archive.org/details/youtube-X6DiGFHcJtg,reject
washing-059,Washing Machine,not_eligible,,6,13,7,not_accepted_by_r1,excluded,low,none,component_overview,LG USA,https://archive.org/details/youtube-yz6PV8O5C2s,reject
washing-060,Washing Machine,reserve,,6,13,7,eligible_reserve_after_class_quota,development,none,none,operation,LG USA,https://archive.org/details/youtube-trWG49Qp5ps,accept
washing-061,Washing Machine,reserve,,6,13,7,eligible_reserve_after_class_quota,development,none,none,maintenance,LG DIY Service,https://archive.org/details/youtube-6kghyoFhYb8,accept
washing-062,Washing Machine,selected,5,6,13,7,selected_for_class_balance; split=development; privacy=none; safety=none; procedure=troubleshooting; deterministic_rank=5,development,none,none,troubleshooting,LG Malaysia,https://archive.org/details/youtube-S_7pnxpmFcU,accept
washing-063,Washing Machine,reserve,,6,13,7,eligible_reserve_after_class_quota,development,none,none,maintenance,Samsung India,https://archive.org/details/youtube-2YPIWeWR6Ss,accept
washing-064,Washing Machine,reserve,,6,13,7,eligible_reserve_after_class_quota,development,none,none,troubleshooting,LG Global,https://archive.org/details/youtube-CiJI2aq_Wnw,accept
washing-065,Washing Machine,reserve,,6,13,7,eligible_reserve_after_class_quota,development,none,none,troubleshooting,LG Global,https://archive.org/details/youtube-VW8QV9W6LZ0,accept
washing-066,Washing Machine,reserve,,6,13,7,eligible_reserve_after_class_quota,development,none,none,maintenance,Samsung India,https://archive.org/details/youtube-rkRoBFW2k0I,accept
washing-067,Washing Machine,reserve,,6,13,7,eligible_reserve_after_class_quota,development,none,none,maintenance,LG Global,https://archive.org/details/youtube-71kKEb5FNnI,accept
washing-068,Washing Machine,reserve,,6,13,7,eligible_reserve_after_class_quota,development,none,none,maintenance,LG Gulf,https://archive.org/details/youtube-rMsIyVGbBAk,accept
washing-069,Washing Machine,reserve,,6,13,7,eligible_reserve_after_class_quota,development,none,none,maintenance,LG Malaysia,https://archive.org/details/youtube-gRfpIUVfgZQ,accept
