record_id,expected_product_class,title,target_visible,predicted_product_class,procedure_relevance,functional_step_visible,visual_evidence,uncertainty,machine_decision,model,model_revision,prompt_version,frame_paths_json,processed_at,error
espresso-014,Espresso Machine,Kaffe - Ystad-2024.ogg,no,uncertain,uncertain,no,A coffee roaster with beans being tumbled inside a large drum. A hand briefly enters the frame.,,reject_out_of_scope,Qwen/Qwen3-VL-8B-Instruct,0c351dd01ed87e9c1b53cbc748cba10e6187ff3b,candidate-scope-screen-v1,"[""data_video/review/candidate_frames/espresso-014/sample_01.jpg"",""data_video/review/candidate_frames/espresso-014/sample_02.jpg"",""data_video/review/candidate_frames/espresso-014/sample_03.jpg"",""data_video/review/candidate_frames/espresso-014/sample_04.jpg"",""data_video/review/candidate_frames/espresso-014/sample_05.jpg""]",2026-07-21T11:28:10.638727+00:00,
espresso-015,Espresso Machine,Morning Espresso Routine (abridged version).webm,yes,Espresso Machine,operation,yes,"The frames show an espresso machine in operation, with coffee being extracted from the portafilter into a red cup. The sequence captures the start of extraction, the flow of espresso, and the end of extraction.",,retain_for_human_review,Qwen/Qwen3-VL-8B-Instruct,0c351dd01ed87e9c1b53cbc748cba10e6187ff3b,candidate-scope-screen-v1,"[""data_video/review/candidate_frames/espresso-015/sample_01.jpg"",""data_video/review/candidate_frames/espresso-015/sample_02.jpg"",""data_video/review/candidate_frames/espresso-015/sample_03.jpg"",""data_video/review/candidate_frames/espresso-015/sample_04.jpg"",""data_video/review/candidate_frames/espresso-015/sample_05.jpg""]",2026-07-21T11:28:42.676051+00:00,
espresso-016,Espresso Machine,Sunday Morning Espresso Routine - Grind + distribute + tamp + extraction (15-Second Abridged Version).webm,yes,Espresso Machine,operation,yes,"Frames show grinding coffee, tamping grounds into a portafilter, and the final frame displays a full espresso machine with cups and grinder, indicating espresso extraction is imminent or in progress.",,retain_for_human_review,Qwen/Qwen3-VL-8B-Instruct,0c351dd01ed87e9c1b53cbc748cba10e6187ff3b,candidate-scope-screen-v1,"[""data_video/review/candidate_frames/espresso-016/sample_01.jpg"",""data_video/review/candidate_frames/espresso-016/sample_02.jpg"",""data_video/review/candidate_frames/espresso-016/sample_03.jpg"",""data_video/review/candidate_frames/espresso-016/sample_04.jpg"",""data_video/review/candidate_frames/espresso-016/sample_05.jpg""]",2026-07-21T11:29:12.932029+00:00,
pressure-002,Pressure Cooker,Home Made Alcohol Pressure Cooker Modification.webm,yes,Pressure Cooker,setup,yes,"A stainless steel pot with a lid and pressure valve is shown connected by copper tubing to a bucket filled with ice, indicating a distillation setup. A hand is seen adjusting the copper tube in the ice bucket, and a measuring cup is shown with liquid, suggesting collection of distillate.",,retain_for_human_review,Qwen/Qwen3-VL-8B-Instruct,0c351dd01ed87e9c1b53cbc748cba10e6187ff3b,candidate-scope-screen-v1,"[""data_video/review/candidate_frames/pressure-002/sample_01.jpg"",""data_video/review/candidate_frames/pressure-002/sample_02.jpg"",""data_video/review/candidate_frames/pressure-002/sample_03.jpg"",""data_video/review/candidate_frames/pressure-002/sample_04.jpg"",""data_video/review/candidate_frames/pressure-002/sample_05.jpg""]",2026-07-21T11:29:49.579145+00:00,
pressure-003,Pressure Cooker,Secretaria Na Cozinha- Feijoada leve.webm,no,uncertain,operation,yes,"Frames show ingredients being prepared and cooked in a pot on a stovetop, including adding oil and vegetables. No pressure-cooking hardware or controls are visible.",,reject_out_of_scope,Qwen/Qwen3-VL-8B-Instruct,0c351dd01ed87e9c1b53cbc748cba10e6187ff3b,candidate-scope-screen-v1,"[""data_video/review/candidate_frames/pressure-003/sample_01.jpg"",""data_video/review/candidate_frames/pressure-003/sample_02.jpg"",""data_video/review/candidate_frames/pressure-003/sample_03.jpg"",""data_video/review/candidate_frames/pressure-003/sample_04.jpg"",""data_video/review/candidate_frames/pressure-003/sample_05.jpg""]",2026-07-21T11:30:18.269215+00:00,
printer-002,Printer,UV inkjet printing on letter box.ogv,yes,Printer,component_overview,no,"A Mimaki brand large-format printer is shown on a workbench. The machine has a control panel with a green power indicator lit, and the print head is visible moving across the platen. No paper or media is being fed or printed, and no user interaction is visible.",,retain_for_human_review,Qwen/Qwen3-VL-8B-Instruct,0c351dd01ed87e9c1b53cbc748cba10e6187ff3b,candidate-scope-screen-v1,"[""data_video/review/candidate_frames/printer-002/sample_01.jpg"",""data_video/review/candidate_frames/printer-002/sample_02.jpg"",""data_video/review/candidate_frames/printer-002/sample_03.jpg"",""data_video/review/candidate_frames/printer-002/sample_04.jpg"",""data_video/review/candidate_frames/printer-002/sample_05.jpg""]",2026-07-21T11:30:54.220631+00:00,
printer-003,Printer,"Electronica 2025, Bangalore International Exhibition Centre, 16.webm",yes,Printer,operation,yes,"A person is operating a machine that appears to be a label printer, with a laptop connected for control. The machine is actively printing a label onto a black surface, with a visible laser or print head in motion.",,retain_for_human_review,Qwen/Qwen3-VL-8B-Instruct,0c351dd01ed87e9c1b53cbc748cba10e6187ff3b,candidate-scope-screen-v1,"[""data_video/review/candidate_frames/printer-003/sample_01.jpg"",""data_video/review/candidate_frames/printer-003/sample_02.jpg"",""data_video/review/candidate_frames/printer-003/sample_03.jpg"",""data_video/review/candidate_frames/printer-003/sample_04.jpg"",""data_video/review/candidate_frames/printer-003/sample_05.jpg""]",2026-07-21T11:31:25.644874+00:00,
printer-004,Printer,NIOSH Scientists Investigating Pollution From Office Equipment.webm,no,uncertain,irrelevant,no,"Frames show a title card and a speaker, Aleksander Stefaniak, Ph.D., CIH, Research Industrial Hygienist, Respiratory Health. No office equipment, including printers, is visible.",,reject_out_of_scope,Qwen/Qwen3-VL-8B-Instruct,0c351dd01ed87e9c1b53cbc748cba10e6187ff3b,candidate-scope-screen-v1,"[""data_video/review/candidate_frames/printer-004/sample_01.jpg"",""data_video/review/candidate_frames/printer-004/sample_02.jpg"",""data_video/review/candidate_frames/printer-004/sample_03.jpg"",""data_video/review/candidate_frames/printer-004/sample_04.jpg"",""data_video/review/candidate_frames/printer-004/sample_05.jpg""]",2026-07-21T11:31:57.208974+00:00,
printer-005,Printer,Space Station Live- 3-D Printing on the Station.webm,no,uncertain,uncertain,no,"Frames show a 3D printer extruding material and a person holding a printed object, but the machine is not visibly a household product and the frames do not show a clear operation or setup step for a household product.",,reject_out_of_scope,Qwen/Qwen3-VL-8B-Instruct,0c351dd01ed87e9c1b53cbc748cba10e6187ff3b,candidate-scope-screen-v1,"[""data_video/review/candidate_frames/printer-005/sample_01.jpg"",""data_video/review/candidate_frames/printer-005/sample_02.jpg"",""data_video/review/candidate_frames/printer-005/sample_03.jpg"",""data_video/review/candidate_frames/printer-005/sample_04.jpg"",""data_video/review/candidate_frames/printer-005/sample_05.jpg""]",2026-07-21T11:32:29.538233+00:00,
printer-006,Printer,FALHA DO CARTUCHO DE TINTA - O QUE FAZER.webm,yes,Printer,troubleshooting,yes,"A printer error message ('Falha do cartucho de tinta') is displayed on screen, and a person is shown handling a printer ink cartridge, indicating a troubleshooting procedure for a printer issue.",,retain_for_human_review,Qwen/Qwen3-VL-8B-Instruct,0c351dd01ed87e9c1b53cbc748cba10e6187ff3b,candidate-scope-screen-v1,"[""data_video/review/candidate_frames/printer-006/sample_01.jpg"",""data_video/review/candidate_frames/printer-006/sample_02.jpg"",""data_video/review/candidate_frames/printer-006/sample_03.jpg"",""data_video/review/candidate_frames/printer-006/sample_04.jpg"",""data_video/review/candidate_frames/printer-006/sample_05.jpg""]",2026-07-21T11:33:00.620735+00:00,
printer-007,Printer,Wikipedia - 25 years of humanity at its best.webm,no,uncertain,irrelevant,no,"Frames show a person speaking via video call, a lava flow, server racks, and another person speaking. No printer or related printing activity is visible.",,reject_out_of_scope,Qwen/Qwen3-VL-8B-Instruct,0c351dd01ed87e9c1b53cbc748cba10e6187ff3b,candidate-scope-screen-v1,"[""data_video/review/candidate_frames/printer-007/sample_01.jpg"",""data_video/review/candidate_frames/printer-007/sample_02.jpg"",""data_video/review/candidate_frames/printer-007/sample_03.jpg"",""data_video/review/candidate_frames/printer-007/sample_04.jpg"",""data_video/review/candidate_frames/printer-007/sample_05.jpg""]",2026-07-21T11:33:28.765303+00:00,
printer-008,Printer,Space Station Live- Setting up a Machine Shop in Space.webm,no,uncertain,uncertain,no,"Frames show a NASA press conference, an interior of the ISS with equipment, and a 3D printer in operation. The 3D printer is not a household printer and is excluded by the taxonomy.",,reject_out_of_scope,Qwen/Qwen3-VL-8B-Instruct,0c351dd01ed87e9c1b53cbc748cba10e6187ff3b,candidate-scope-screen-v1,"[""data_video/review/candidate_frames/printer-008/sample_01.jpg"",""data_video/review/candidate_frames/printer-008/sample_02.jpg"",""data_video/review/candidate_frames/printer-008/sample_03.jpg"",""data_video/review/candidate_frames/printer-008/sample_04.jpg"",""data_video/review/candidate_frames/printer-008/sample_05.jpg""]",2026-07-21T11:34:00.375573+00:00,
printer-009,Printer,Space Station Live- Space-Made Presents Unboxed.webm,no,uncertain,irrelevant,no,"Frames show people unboxing and handling sealed packages in a lab or manufacturing setting, with a NASA banner and equipment visible. No printer or related printing activity is visible.",,reject_out_of_scope,Qwen/Qwen3-VL-8B-Instruct,0c351dd01ed87e9c1b53cbc748cba10e6187ff3b,candidate-scope-screen-v1,"[""data_video/review/candidate_frames/printer-009/sample_01.jpg"",""data_video/review/candidate_frames/printer-009/sample_02.jpg"",""data_video/review/candidate_frames/printer-009/sample_03.jpg"",""data_video/review/candidate_frames/printer-009/sample_04.jpg"",""data_video/review/candidate_frames/printer-009/sample_05.jpg""]",2026-07-21T11:34:29.494265+00:00,
printer-010,Printer,Space Station Live- Update on 3-D Printing in Space.webm,no,uncertain,irrelevant,no,"Frames show astronaut working in space station, a man in flight suit in aircraft, and a man speaking in front of a poster. One frame shows a 3D-printed object, but no printer is visible.",,reject_out_of_scope,Qwen/Qwen3-VL-8B-Instruct,0c351dd01ed87e9c1b53cbc748cba10e6187ff3b,candidate-scope-screen-v1,"[""data_video/review/candidate_frames/printer-010/sample_01.jpg"",""data_video/review/candidate_frames/printer-010/sample_02.jpg"",""data_video/review/candidate_frames/printer-010/sample_03.jpg"",""data_video/review/candidate_frames/printer-010/sample_04.jpg"",""data_video/review/candidate_frames/printer-010/sample_05.jpg""]",2026-07-21T11:35:01.478258+00:00,
vacuum-003,Vacuum,Robot vacuum cleaner - Japan - 2024 June 24.webm,yes,Vacuum,operation,yes,"A circular robot vacuum cleaner is shown moving across a wooden floor, actively cleaning and navigating around furniture and a cabinet.",,retain_for_human_review,Qwen/Qwen3-VL-8B-Instruct,0c351dd01ed87e9c1b53cbc748cba10e6187ff3b,candidate-scope-screen-v1,"[""data_video/review/candidate_frames/vacuum-003/sample_01.jpg"",""data_video/review/candidate_frames/vacuum-003/sample_02.jpg"",""data_video/review/candidate_frames/vacuum-003/sample_03.jpg"",""data_video/review/candidate_frames/vacuum-003/sample_04.jpg"",""data_video/review/candidate_frames/vacuum-003/sample_05.jpg""]",2026-07-21T11:35:27.434569+00:00,
vacuum-004,Vacuum,Staubsauger Henry Plus! 170 Breakdown.webm,yes,Vacuum,operation,yes,"A blue and black Henry vacuum cleaner is shown on a carpeted floor in an office setting. The frames display overlaid German text labels ('Original', 'Perspektive ändern', 'Farben anpassen', 'Löschen'), indicating editing or modification actions being demonstrated, which are operations related to the product's use or presentation.",,retain_for_human_review,Qwen/Qwen3-VL-8B-Instruct,0c351dd01ed87e9c1b53cbc748cba10e6187ff3b,candidate-scope-screen-v1,"[""data_video/review/candidate_frames/vacuum-004/sample_01.jpg"",""data_video/review/candidate_frames/vacuum-004/sample_02.jpg"",""data_video/review/candidate_frames/vacuum-004/sample_03.jpg"",""data_video/review/candidate_frames/vacuum-004/sample_04.jpg"",""data_video/review/candidate_frames/vacuum-004/sample_05.jpg""]",2026-07-21T11:36:07.319182+00:00,
vacuum-006,Vacuum,NASA Lander to Test Vacuum Cleaner on Moon for Sample Collection (Dennis Harris LPV).webm,no,uncertain,irrelevant,no,"Frames show a NASA Moon mission title card, an interview at Marshall Space Flight Center, and a technician working on spacecraft hardware in a clean room. No household vacuum cleaner or related product is visible.",,reject_out_of_scope,Qwen/Qwen3-VL-8B-Instruct,0c351dd01ed87e9c1b53cbc748cba10e6187ff3b,candidate-scope-screen-v1,"[""data_video/review/candidate_frames/vacuum-006/sample_01.jpg"",""data_video/review/candidate_frames/vacuum-006/sample_02.jpg"",""data_video/review/candidate_frames/vacuum-006/sample_03.jpg"",""data_video/review/candidate_frames/vacuum-006/sample_04.jpg"",""data_video/review/candidate_frames/vacuum-006/sample_05.jpg""]",2026-07-21T11:36:38.184922+00:00,
vacuum-007,Vacuum,Sparking commutator.ogv,no,uncertain,irrelevant,no,"A bright light source with sparks inside a dark, enclosed mechanical unit. A label with '23140 60Hz' is visible. The context suggests an electrical or mechanical component, possibly a motor or transformer, but no clear vacuum cleaner features or operations are visible.",,reject_out_of_scope,Qwen/Qwen3-VL-8B-Instruct,0c351dd01ed87e9c1b53cbc748cba10e6187ff3b,candidate-scope-screen-v1,"[""data_video/review/candidate_frames/vacuum-007/sample_01.jpg"",""data_video/review/candidate_frames/vacuum-007/sample_02.jpg"",""data_video/review/candidate_frames/vacuum-007/sample_03.jpg"",""data_video/review/candidate_frames/vacuum-007/sample_04.jpg"",""data_video/review/candidate_frames/vacuum-007/sample_05.jpg""]",2026-07-21T11:37:14.203508+00:00,
vacuum-008,Vacuum,A day in the life of NEATO our cleaning bot.webm,yes,Vacuum,operation,yes,"The frames show a robotic vacuum cleaner moving across a floor, navigating around furniture and obstacles, which is a core operational function.",,retain_for_human_review,Qwen/Qwen3-VL-8B-Instruct,0c351dd01ed87e9c1b53cbc748cba10e6187ff3b,candidate-scope-screen-v1,"[""data_video/review/candidate_frames/vacuum-008/sample_01.jpg"",""data_video/review/candidate_frames/vacuum-008/sample_02.jpg"",""data_video/review/candidate_frames/vacuum-008/sample_03.jpg"",""data_video/review/candidate_frames/vacuum-008/sample_04.jpg"",""data_video/review/candidate_frames/vacuum-008/sample_05.jpg""]",2026-07-21T11:37:40.542245+00:00,
vacuum-009,Vacuum,Vacuuming with Snickerdoodle (GEDC2330).webm,yes,Vacuum,operation,yes,"A red vacuum cleaner is being pushed across a carpeted floor by a person, with a dog nearby. The vacuum is actively moving, indicating cleaning in progress.",,retain_for_human_review,Qwen/Qwen3-VL-8B-Instruct,0c351dd01ed87e9c1b53cbc748cba10e6187ff3b,candidate-scope-screen-v1,"[""data_video/review/candidate_frames/vacuum-009/sample_01.jpg"",""data_video/review/candidate_frames/vacuum-009/sample_02.jpg"",""data_video/review/candidate_frames/vacuum-009/sample_03.jpg"",""data_video/review/candidate_frames/vacuum-009/sample_04.jpg"",""data_video/review/candidate_frames/vacuum-009/sample_05.jpg""]",2026-07-21T11:38:09.074167+00:00,
vacuum-010,Vacuum,Vorwerk Kobold VR100 in Zeitraffer im Büro.webm,yes,Vacuum,operation,yes,"A white robotic vacuum cleaner appears on the rug in frame 3 and moves across it in frame 4, indicating active cleaning operation.",,retain_for_human_review,Qwen/Qwen3-VL-8B-Instruct,0c351dd01ed87e9c1b53cbc748cba10e6187ff3b,candidate-scope-screen-v1,"[""data_video/review/candidate_frames/vacuum-010/sample_01.jpg"",""data_video/review/candidate_frames/vacuum-010/sample_02.jpg"",""data_video/review/candidate_frames/vacuum-010/sample_03.jpg"",""data_video/review/candidate_frames/vacuum-010/sample_04.jpg"",""data_video/review/candidate_frames/vacuum-010/sample_05.jpg""]",2026-07-21T11:38:36.161524+00:00,
vacuum-011,Vacuum,Standwerkers hebben hoogste woord tijdens nationaal concours-510005.ogv,no,uncertain,irrelevant,no,"The frames show people at what appears to be a market or fair, with activities like food preparation, flower selling, and demonstrations. No vacuum cleaner or related equipment is visible.",,reject_out_of_scope,Qwen/Qwen3-VL-8B-Instruct,0c351dd01ed87e9c1b53cbc748cba10e6187ff3b,candidate-scope-screen-v1,"[""data_video/review/candidate_frames/vacuum-011/sample_01.jpg"",""data_video/review/candidate_frames/vacuum-011/sample_02.jpg"",""data_video/review/candidate_frames/vacuum-011/sample_03.jpg"",""data_video/review/candidate_frames/vacuum-011/sample_04.jpg"",""data_video/review/candidate_frames/vacuum-011/sample_05.jpg""]",2026-07-21T11:39:05.801626+00:00,
